,,,,,,,,Producer/Merchant/Processor/User - All - Long ,Producer/Merchant/Processor/User - All - Short,Swap Dealers – All - Long,Swap Dealers – All – Short,,Managed Money - All - Long,Managed Money - All - Short,,Other Reportables - All - Long,Other Reportables - All - Short,,,,Nonreportable Positions – Long,Nonreportable Positions – Short,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUTANE OPIS MT BELV NONTET FP  - ICE FUTURES ENERGY DIV,210803,2021-08-03,06641D,IFED,1,66,12997,6213,9103,1176,1617,660,34,0,0,3871,558,212,12166,12150,831,847,12997,6213,9103,1176,1617,660,34,0,0,3871,558,212,12166,12150,831,847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1704,-2329,-1000,59,-589,-149,34,0,0,899,-219,-46,-1532,-2003,-172,299,100,47.8,70,9,12.4,5.1,0.3,0,0,29.8,4.3,1.6,93.6,93.5,6.4,6.5,100,47.8,70,9,12.4,5.1,0.3,0,0,29.8,4.3,1.6,93.6,93.5,6.4,6.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,23,25,4,.,4,.,0,0,4,.,5,35,37,47,23,25,4,.,4,.,0,0,4,.,5,35,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.7,35.8,71.9,59.6,53.5,30.3,63.7,50.8,56.7,35.8,71.9,59.6,53.5,30.3,63.7,50.8,0,0,0,0,0,0,0,0,42000 gallons(1000 barrels),06641D,IFED,66,N13,FutOnly
PROPANE OPIS CONWAY INWELL FP - ICE FUTURES ENERGY DIV,210803,2021-08-03,06641E,IFED,1,66,7477,5315,5416,707,902,657,0,0,0,0,90,0,6679,7065,798,412,7477,5315,5416,707,902,657,0,0,0,0,90,0,6679,7065,798,412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1219,-1132,-555,241,-276,-228,0,0,0,-132,-55,-6,-1257,-1120,38,-99,100,71.1,72.4,9.5,12.1,8.8,0,0,0,0,1.2,0,89.3,94.5,10.7,5.5,100,71.1,72.4,9.5,12.1,8.8,0,0,0,0,1.2,0,89.3,94.5,10.7,5.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,9,13,.,4,4,0,0,0,0,.,0,13,22,23,9,13,.,4,4,0,0,0,0,.,0,13,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.4,56.4,81.6,74.7,63.4,54.6,66,66.5,69.4,56.4,81.6,74.7,63.4,54.6,66,66.5,0,0,0,0,0,0,0,0,42000 gallons(1000 barrels),06641E,IFED,66,N13,FutOnly
PROPANE OPIS MT BELV NONTET FP - ICE FUTURES ENERGY DIV,210803,2021-08-03,06641F,IFED,1,66,24192,15705,16826,1056,4451,815,0,0,0,5577,869,1039,24192,24000,0,192,24192,15705,16826,1056,4451,815,0,0,0,5577,869,1039,24192,24000,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4594,-3480,-2533,591,-902,-613,0,0,0,-1197,-616,105,-4594,-4559,0,-35,100,64.9,69.6,4.4,18.4,3.4,0,0,0,23.1,3.6,4.3,100,99.2,0,0.8,100,64.9,69.6,4.4,18.4,3.4,0,0,0,23.1,3.6,4.3,100,99.2,0,0.8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,23,25,.,7,.,0,0,0,.,.,.,31,38,51,23,25,.,7,.,0,0,0,.,.,.,31,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.5,41.2,68.4,58.2,42.3,35.4,58.3,51.1,46.5,41.2,68.4,58.2,42.3,35.4,58.3,51.1,0,0,0,0,0,0,0,0,42000 gallons(1000 barrels),06641F,IFED,66,N13,FutOnly
PROPANE OPIS MT BELVIEU TET FP - ICE FUTURES ENERGY DIV,210803,2021-08-03,06641G,IFED,1,66,57320,37022,39491,4965,3362,3626,1190,0,0,6262,6623,3750,56815,56852,505,468,57320,37022,39491,4965,3362,3626,1190,0,0,6262,6623,3750,56815,56852,505,468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5189,-3462,-4212,-1752,-618,-98,130,0,0,-227,-700,289,-5120,-5339,-69,150,100,64.6,68.9,8.7,5.9,6.3,2.1,0,0,10.9,11.6,6.5,99.1,99.2,0.9,0.8,100,64.6,68.9,8.7,5.9,6.3,2.1,0,0,10.9,11.6,6.5,99.1,99.2,0.9,0.8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,55,53,8,7,11,.,0,0,5,11,12,84,80,100,55,53,8,7,11,.,0,0,5,11,12,84,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.3,30.1,40.2,48.1,17.8,25.9,31.8,39.3,24.3,30.1,40.2,48.1,17.8,25.9,31.8,39.3,0,0,0,0,0,0,0,0,42000 gallons(1000 barrels),06641G,IFED,66,N13,FutOnly
ARGUS PROPANE FAR EAST INDEX - NEW YORK MERCANTILE EXCHANGE,210803,2021-08-03,06665B,NYME,1,66,4884,3038,3799,179,42,214,70,0,0,374,20,178,4053,4253,831,631,4884,3038,3799,179,42,214,70,0,0,374,20,178,4053,4253,831,631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-639,-334,-347,-35,42,-95,2,0,0,-60,-39,-71,-593,-510,-46,-129,100,62.2,77.8,3.7,0.9,4.4,1.4,0,0,7.7,0.4,3.6,83,87.1,17,12.9,100,62.2,77.8,3.7,0.9,4.4,1.4,0,0,7.7,0.4,3.6,83,87.1,17,12.9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,29,30,.,.,.,.,0,0,.,.,4,37,37,41,29,30,.,.,.,.,0,0,.,.,4,37,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.1,31,46.3,51.8,26,29.8,38.5,45.2,31.1,31,46.3,51.8,26,29.8,38.5,45.2,0,0,0,0,0,0,0,0,"(CONTRACTS OF 1,000 METRIC TONS)",06665B,NYME,66,N13,FutOnly
PROPANE NON-LDH MT BEL - NEW YORK MERCANTILE EXCHANGE,210803,2021-08-03,06665G,NYME,1,66,49791,41256,14547,325,33785,887,0,0,0,7075,230,68,49611,49517,180,274,49791,41256,14547,325,33785,887,0,0,0,7075,230,68,49611,49517,180,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1967,-2135,591,-8,-2249,-13,0,0,0,303,-58,-132,-1985,-1861,18,-106,100,82.9,29.2,0.7,67.9,1.8,0,0,0,14.2,0.5,0.1,99.6,99.4,0.4,0.6,100,82.9,29.2,0.7,67.9,1.8,0,0,0,14.2,0.5,0.1,99.6,99.4,0.4,0.6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,27,24,.,9,.,0,0,0,4,4,.,35,39,58,27,24,.,9,.,0,0,0,4,4,.,35,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.8,55,68.1,77,42,55,65.4,77,43.8,55,68.1,77,42,55,65.4,77,0,0,0,0,0,0,0,0,"(CONTRACTS OF 42,000 GALLONS)",06665G,NYME,66,N13,FutOnly
MT BELVIEU LDH PROPANE (OPIS) - NEW YORK MERCANTILE EXCHANGE,210803,2021-08-03,06665O,NYME,1,66,129880,95384,89127,11689,19592,7625,2880,516,313,5179,7027,5449,128519,129649,1361,231,129880,95384,89127,11689,19592,7625,2880,516,313,5179,7027,5449,128519,129649,1361,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4139,2733,3590,701,627,-636,15,0,0,1129,441,117,4059,4139,80,0,100,73.4,68.6,9,15.1,5.9,2.2,0.4,0.2,4,5.4,4.2,99,99.8,1,0.2,100,73.4,68.6,9,15.1,5.9,2.2,0.4,0.2,4,5.4,4.2,99,99.8,1,0.2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,74,62,8,10,12,9,.,.,13,6,13,115,95,131,74,62,8,10,12,9,.,.,13,6,13,115,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.5,22.5,39.1,38.7,19.4,19.6,31.2,33,23.5,22.5,39.1,38.7,19.4,19.6,31.2,33,0,0,0,0,0,0,0,0,"(CONTRACTS OF 42,000 GALLONS)",06665O,NYME,66,N13,FutOnly
MT BELVIEU ETHANE OPIS - NEW YORK MERCANTILE EXCHANGE,210803,2021-08-03,06665P,NYME,1,66,44065,32561,27443,5487,15562,702,3194,0,0,1748,0,65,43757,43772,308,293,44065,32561,27443,5487,15562,702,3194,0,0,1748,0,65,43757,43772,308,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2761,-2707,-2332,452,-73,-389,-75,0,0,-115,0,30,-2804,-2764,43,3,100,73.9,62.3,12.5,35.3,1.6,7.2,0,0,4,0,0.1,99.3,99.3,0.7,0.7,100,73.9,62.3,12.5,35.3,1.6,7.2,0,0,4,0,0.1,99.3,99.3,0.7,0.7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,27,27,.,9,.,6,0,0,4,0,.,40,37,55,27,27,.,9,.,6,0,0,4,0,.,40,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,42.4,66.6,66.5,41.3,40.7,59.8,62.6,44,42.4,66.6,66.5,41.3,40.7,59.8,62.6,0,0,0,0,0,0,0,0,"(CONTRACTS OF 42,000 GALLONS)",06665P,NYME,66,N13,FutOnly
MT BELV NORM BUTANE OPIS - NEW YORK MERCANTILE EXCHANGE,210803,2021-08-03,06665Q,NYME,1,66,52390,43306,33354,1997,13875,2045,1835,0,0,1400,1547,1211,51794,52032,596,358,52390,43306,33354,1997,13875,2045,1835,0,0,1400,1547,1211,51794,52032,596,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4145,-3577,-2328,-204,-1603,-92,-22,0,0,-288,32,-192,-4375,-4183,230,38,100,82.7,63.7,3.8,26.5,3.9,3.5,0,0,2.7,3,2.3,98.9,99.3,1.1,0.7,100,82.7,63.7,3.8,26.5,3.9,3.5,0,0,2.7,3,2.3,98.9,99.3,1.1,0.7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,49,43,5,8,7,5,0,0,5,7,9,72,66,90,49,43,5,8,7,5,0,0,5,7,9,72,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.7,24.2,53,44,24.7,23.4,37.6,39.6,35.7,24.2,53,44,24.7,23.4,37.6,39.6,0,0,0,0,0,0,0,0,"(CONTRACTS OF 42,000 GALLONS)",06665Q,NYME,66,N13,FutOnly
MT BELV NAT GASOLINE OPIS - NEW YORK MERCANTILE EXCHANGE,210803,2021-08-03,06665R,NYME,1,66,30761,29492,18228,0,11637,492,375,0,0,280,25,0,30639,30382,122,379,30761,29492,18228,0,11637,492,375,0,0,280,25,0,30639,30382,122,379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3115,-2853,-2356,0,-531,-86,-75,0,0,-35,-80,-25,-3074,-3078,-41,-37,100,95.9,59.3,0,37.8,1.6,1.2,0,0,0.9,0.1,0,99.6,98.8,0.4,1.2,100,95.9,59.3,0,37.8,1.6,1.2,0,0,0.9,0.1,0,99.6,98.8,0.4,1.2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,18,24,0,8,.,.,0,0,.,.,0,24,33,41,18,24,0,8,.,.,0,0,.,.,0,24,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.6,42.9,89.6,66.3,68.2,39.6,79.5,61.3,73.6,42.9,89.6,66.3,68.2,39.6,79.5,61.3,0,0,0,0,0,0,0,0,"(CONTRACTS OF 42,000 GALLONS)",06665R,NYME,66,N13,FutOnly
MT BELV ISO-BUTANE 5 DEC - NEW YORK MERCANTILE EXCHANGE,210803,2021-08-03,06665S,NYME,1,66,6558,6044,1374,0,4210,45,0,0,0,98,0,166,6353,5795,205,763,6558,6044,1374,0,4210,45,0,0,0,98,0,166,6353,5795,205,763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,92.2,21,0,64.2,0.7,0,0,0,1.5,0,2.5,96.9,88.4,3.1,11.6,100,92.2,21,0,64.2,0.7,0,0,0,1.5,0,2.5,96.9,88.4,3.1,11.6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,11,6,0,5,.,0,0,0,.,0,.,14,12,20,11,6,0,5,.,0,0,0,.,0,.,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.1,58.6,91.1,81,74.6,57.9,87.1,79.3,75.1,58.6,91.1,81,74.6,57.9,87.1,79.3,0,0,0,0,0,0,0,0,"(CONTRACTS OF 42,000 GALLONS)",06665S,NYME,66,N13,FutOnly
CONWAY PROPANE (OPIS) - NEW YORK MERCANTILE EXCHANGE,210803,2021-08-03,06665T,NYME,1,66,22560,15117,17552,3723,2518,1222,0,345,0,695,55,490,21247,22182,1313,378,22560,15117,17552,3723,2518,1222,0,345,0,695,55,490,21247,22182,1313,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1819,-1677,-1056,19,-448,-89,0,0,0,111,-46,-252,-1888,-1891,69,72,100,67,77.8,16.5,11.2,5.4,0,1.5,0,3.1,0.2,2.2,94.2,98.3,5.8,1.7,100,67,77.8,16.5,11.2,5.4,0,1.5,0,3.1,0.2,2.2,94.2,98.3,5.8,1.7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,26,25,7,5,7,0,.,0,.,.,.,40,37,46,26,25,7,5,7,0,.,0,.,.,.,40,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,56.5,57.4,72.9,34.1,53.3,52.2,62.2,37,56.5,57.4,72.9,34.1,53.3,52.2,62.2,0,0,0,0,0,0,0,0,"(CONTRACTS OF 42,000 GALLONS)",06665T,NYME,66,N13,FutOnly
CRUDE DIFF-WCS HOUSTON/WTI 1ST - ICE FUTURES ENERGY DIV,210803,2021-08-03,06739C,IFED,1,67,6845,5960,6050,225,0,0,0,210,0,0,0,0,6185,6260,660,585,6845,5960,6050,225,0,0,0,210,0,0,0,0,6185,6260,660,585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-53,-143,-53,0,0,0,0,0,0,0,0,0,-143,-53,90,0,100,87.1,88.4,3.3,0,0,0,3.1,0,0,0,0,90.4,91.5,9.6,8.5,100,87.1,88.4,3.3,0,0,0,3.1,0,0,0,0,90.4,91.5,9.6,8.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,12,11,.,0,0,0,.,0,0,0,0,13,12,20,12,11,.,0,0,0,.,0,0,0,0,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.8,76,80.3,87.2,53.8,59.2,69.2,69.7,53.8,76,80.3,87.2,53.8,59.2,69.2,69.7,0,0,0,0,0,0,0,0,1000 Barrels,06739C,IFED,67,N10,FutOnly
"CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE",210803,2021-08-03,67411,ICEU,1,67,587396,327235,209330,1869,123146,33774,15126,13942,34995,50894,50903,110850,574743,576940,12653,10456,587396,327235,209330,1869,123146,33774,15126,13942,34995,50894,50903,110850,574743,576940,12653,10456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8764,6199,13209,-807,-924,1227,-1401,446,-3344,829,-5680,5068,7771,10002,993,-1238,100,55.7,35.6,0.3,21,5.7,2.6,2.4,6,8.7,8.7,18.9,97.8,98.2,2.2,1.8,100,55.7,35.6,0.3,21,5.7,2.6,2.4,6,8.7,8.7,18.9,97.8,98.2,2.2,1.8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,42,39,.,18,19,7,6,12,12,26,37,114,110,120,42,39,.,18,19,7,6,12,12,26,37,114,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.9,32.5,56.1,50.9,38.1,30.4,44.6,41.3,42.9,32.5,56.1,50.9,38.1,30.4,44.6,41.3,0,0,0,0,0,0,0,0,"(CONTRACTS OF 1,000 BARRELS)",67411,ICEU,67,N10,FutOnly
CRUDE DIFF-TMX WCS 1A INDEX - ICE FUTURES ENERGY DIV,210803,2021-08-03,06742G,IFED,1,67,48245,47732,23842,240,22718,63,0,250,0,0,0,0,48035,46873,210,1372,48245,47732,23842,240,22718,63,0,250,0,0,0,0,48035,46873,210,1372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1410,1410,165,0,680,0,0,0,0,0,0,0,1410,845,0,565,100,98.9,49.4,0.5,47.1,0.1,0,0.5,0,0,0,0,99.6,97.2,0.4,2.8,100,98.9,49.4,0.5,47.1,0.1,0,0.5,0,0,0,0,99.6,97.2,0.4,2.8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,25,16,.,8,.,0,.,0,0,0,0,27,25,40,25,16,.,8,.,0,.,0,0,0,0,27,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.7,52.7,78.9,78.2,44.1,50.4,55.7,66,48.7,52.7,78.9,78.2,44.1,50.4,55.7,66,0,0,0,0,0,0,0,0,1000 BARRELS,06742G,IFED,67,N10,FutOnly
CRUDE DIFF-TMX SW 1A INDEX - ICE FUTURES ENERGY DIV,210803,2021-08-03,06742T,IFED,1,67,14720,12810,3334,1430,11099,0,0,0,0,0,0,0,14240,14433,480,287,14720,12810,3334,1430,11099,0,0,0,0,0,0,0,14240,14433,480,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,27,-45,0,438,0,0,0,0,0,0,0,27,393,405,39,100,87,22.6,9.7,75.4,0,0,0,0,0,0,0,96.7,98.1,3.3,1.9,100,87,22.6,9.7,75.4,0,0,0,0,0,0,0,96.7,98.1,3.3,1.9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,14,9,.,7,0,0,0,0,0,0,0,15,16,26,14,9,.,7,0,0,0,0,0,0,0,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.5,66.1,80.1,89.1,51.1,66.1,69.2,77.5,60.5,66.1,80.1,89.1,51.1,66.1,69.2,77.5,0,0,0,0,0,0,0,0,1000 BARRELS,06742T,IFED,67,N10,FutOnly
ARGUS WTI Mid/WTI TRADE MONTH - ICE FUTURES ENERGY DIV,210803,2021-08-03,06742U,IFED,1,67,141396,120584,27808,9284,95340,6032,0,0,0,0,0,0,135900,129180,5496,12216,141396,120584,27808,9284,95340,6032,0,0,0,0,0,0,135900,129180,5496,12216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,22,0,-10,-80,140,0,0,0,0,0,0,152,60,-70,22,100,85.3,19.7,6.6,67.4,4.3,0,0,0,0,0,0,96.1,91.4,3.9,8.6,100,85.3,19.7,6.6,67.4,4.3,0,0,0,0,0,0,96.1,91.4,3.9,8.6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,13,8,.,8,.,0,0,0,0,0,0,16,17,23,13,8,.,8,.,0,0,0,0,0,0,16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.1,59,89,78.6,56,51.8,70.7,68.5,72.1,59,89,78.6,56,51.8,70.7,68.5,0,0,0,0,0,0,0,0,1000 barrels,06742U,IFED,67,N10,FutOnly
"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",210803,2021-08-03,67651,NYME,1,67,2313202,542087,572187,159512,603770,116665,337498,77258,445693,245972,75685,371519,2218946,2262777,94256,50425,2313202,542087,572187,159512,603770,116665,337498,77258,445693,245972,75685,371519,2218946,2262777,94256,50425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13783,-15263,-26280,-2222,-4736,8231,-15780,1590,776,-2161,-294,9623,-16796,-11090,3013,-2693,100,23.4,24.7,6.9,26.1,5,14.6,3.3,19.3,10.6,3.3,16.1,95.9,97.8,4.1,2.2,100,23.4,24.7,6.9,26.1,5,14.6,3.3,19.3,10.6,3.3,16.1,95.9,97.8,4.1,2.2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,65,68,22,21,29,86,30,73,64,41,85,327,275,356,65,68,22,21,29,86,30,73,64,41,85,327,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,19.7,34.1,31.6,10.8,14,16.5,20.9,21,19.7,34.1,31.6,10.8,14,16.5,20.9,0,0,0,0,0,0,0,0,"(CONTRACTS OF 1,000 BARRELS)",67651,NYME,67,N10,FutOnly
WTI FINANCIAL CRUDE OIL - NEW YORK MERCANTILE EXCHANGE,210803,2021-08-03,06765A,NYME,1,67,138991,22762,22056,16412,43835,1293,0,0,0,55777,37581,2462,98706,107227,40285,31764,138991,22762,22056,16412,43835,1293,0,0,0,55777,37581,2462,98706,107227,40285,31764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15231,-6701,-3872,-1254,-4483,-461,0,0,0,-6498,-3075,-1335,-16249,-13226,1018,-2005,100,16.4,15.9,11.8,31.5,0.9,0,0,0,40.1,27,1.8,71,77.1,29,22.9,100,16.4,15.9,11.8,31.5,0.9,0,0,0,40.1,27,1.8,71,77.1,29,22.9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,10,11,.,5,4,0,0,0,6,4,5,21,27,32,10,11,.,5,4,0,0,0,6,4,5,21,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.6,36.6,61.3,57.6,47.9,36.6,59.6,57.6,48.6,36.6,61.3,57.6,47.9,36.6,59.6,57.6,0,0,0,0,0,0,0,0,"(CONTRACTS OF 1,000 BARRELS)",06765A,NYME,67,N10,FutOnly
BRENT CRUDE OIL LAST DAY - NEW YORK MERCANTILE EXCHANGE,210803,2021-08-03,06765T,NYME,1,67,187282,27004,68802,64725,1078,4205,4851,24382,10158,34797,37651,33890,179630,180166,7652,7116,187282,27004,68802,64725,1078,4205,4851,24382,10158,34797,37651,33890,179630,180166,7652,7116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14362,-1548,-3164,-9363,8,-1415,4839,-3784,-817,977,2438,-8530,-15857,-15264,1495,902,100,14.4,36.7,34.6,0.6,2.2,2.6,13,5.4,18.6,20.1,18.1,95.9,96.2,4.1,3.8,100,14.4,36.7,34.6,0.6,2.2,2.6,13,5.4,18.6,20.1,18.1,95.9,96.2,4.1,3.8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,16,15,6,.,6,.,5,5,18,8,22,53,53,60,16,15,6,.,6,.,5,5,18,8,22,53,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.3,65.2,55.1,74.7,37.1,55.5,46,59.5,42.3,65.2,55.1,74.7,37.1,55.5,46,59.5,0,0,0,0,0,0,0,0,"(CONTRACTS OF 1,000 BARRELS)",06765T,NYME,67,N10,FutOnly
WTI  HOUSTON ARGUS/WTI TR MO - NEW YORK MERCANTILE EXCHANGE,210803,2021-08-03,0676A5,NYME,1,67,144737,119651,119668,0,11912,2115,11885,0,0,0,0,0,133651,133695,11086,11042,144737,119651,119668,0,11912,2115,11885,0,0,0,0,0,133651,133695,11086,11042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1280,1045,1785,0,-300,210,0,0,0,0,0,0,1255,1695,25,-415,100,82.7,82.7,0,8.2,1.5,8.2,0,0,0,0,0,92.3,92.4,7.7,7.6,100,82.7,82.7,0,8.2,1.5,8.2,0,0,0,0,0,92.3,92.4,7.7,7.6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,18,14,0,4,4,.,0,0,0,0,0,24,18,28,18,14,0,4,4,.,0,0,0,0,0,24,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.1,60.5,63.1,75.7,38.8,57.5,61.7,72,39.1,60.5,63.1,75.7,38.8,57.5,61.7,72,0,0,0,0,0,0,0,0,"(CONTRACTS OF 1,000 BARRELS)",0676A5,NYME,67,N10,FutOnly
WTI MIDLAND ARGUS VS WTI TRADE - NEW YORK MERCANTILE EXCHANGE,210803,2021-08-03,067A71,NYME,1,67,82376,70673,38073,0,16600,1993,0,6620,0,1950,0,0,74616,63286,7760,19090,82376,70673,38073,0,16600,1993,0,6620,0,1950,0,0,74616,63286,7760,19090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,898,993,-1242,0,3072,328,0,0,0,0,0,0,1321,2158,-423,-1260,100,85.8,46.2,0,20.2,2.4,0,8,0,2.4,0,0,90.6,76.8,9.4,23.2,100,85.8,46.2,0,20.2,2.4,0,8,0,2.4,0,0,90.6,76.8,9.4,23.2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,13,9,0,5,.,0,.,0,.,0,0,16,15,21,13,9,0,5,.,0,.,0,.,0,0,16,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.8,39.9,80.1,60.9,57.5,35.6,77.3,56.1,59.8,39.9,80.1,60.9,57.5,35.6,77.3,56.1,0,0,0,0,0,0,0,0,"(CONTRACTS OF 1,000 BARRELS)",067A71,NYME,67,N10,FutOnly
WCS OIL NET ENERGY MONTHLY IND - NEW YORK MERCANTILE EXCHANGE,210803,2021-08-03,067A75,NYME,1,67,9690,9660,4765,30,4857,0,0,0,0,0,0,0,9690,9622,0,68,9690,9660,4765,30,4857,0,0,0,0,0,0,0,9690,9622,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,99.7,49.2,0.3,50.1,0,0,0,0,0,0,0,100,99.3,0,0.7,100,99.7,49.2,0.3,50.1,0,0,0,0,0,0,0,100,99.3,0,0.7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,12,5,.,5,0,0,0,0,0,0,0,13,10,21,12,5,.,5,0,0,0,0,0,0,0,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.4,77.5,92.4,97.3,66.6,77.5,86.7,93.6,71.4,77.5,92.4,97.3,66.6,77.5,86.7,93.6,0,0,0,0,0,0,0,0,"(CONTRACTS OF 1,000 U.S. BARRELS)",067A75,NYME,67,N10,FutOnly
COCOA - ICE FUTURES U.S.,210803,2021-08-03,73732,ICUS,1,73,258421,108790,122004,12603,10800,10849,40927,55477,30211,27551,4187,16027,246958,249555,11463,8866,82241,19286,35929,8600,8276,212,35894,25103,1236,10206,7124,330,75764,78210,6477,4031,176180,89504,86075,7863,6384,6777,23208,48549,10800,25902,5620,7140,171194,171345,4986,4835,-7558,2029,4692,-1538,-3222,460,-3696,-5234,-4340,-11,339,237,-6859,-7068,-699,-490,100,42.1,47.2,4.9,4.2,4.2,15.8,21.5,11.7,10.7,1.6,6.2,95.6,96.6,4.4,3.4,100,23.5,43.7,10.5,10.1,0.3,43.6,30.5,1.5,12.4,8.7,0.4,92.1,95.1,7.9,4.9,100,50.8,48.9,4.5,3.6,3.8,13.2,27.6,6.1,14.7,3.2,4.1,97.2,97.3,2.8,2.7,226,44,34,15,6,12,51,45,42,39,19,25,187,149,185,25,19,15,6,.,45,35,12,33,14,.,124,83,176,39,30,12,6,11,30,40,25,28,14,17,136,118,22.2,25.5,34,40.5,15.6,13.3,23.1,23.7,28.7,40.2,40.6,55.7,20.3,30.3,30.8,43.1,26.4,27.8,40.1,46.4,22.8,18.5,33.6,31.3,(CONTRACTS OF 10 METRIC TONS),73732,ICUS,73,A50,FutOnly
